"CHANNEL","EPC","PHASE","RSSI"
"913.25","E280 1160 6000 0207 A652 5964","6.129787228391022","-72.0"
"913.25","E280 1160 6000 0207 A652 516D","0.5399612373357456","-32.0"
"913.25","E200 0000 0000 0000 0000 1A20","1.8530487917658545","-63.5"
"913.25","E200 0000 0000 0000 0000 1A10","6.062292073724054","-63.0"
"913.25","E200 0000 0000 0000 0000 1A11","0.09203884727313846","-67.0"
"913.25","E200 0000 0000 0000 0000 1A21","2.478912953223196","-67.5"
"913.25","E200 0000 0000 0000 0000 AAA1","0.06135923151542565","-71.5"
"913.25","E280 1160 6000 0207 A652 516D","0.5276893910326605","-32.0"
"913.25","E200 0000 0000 0000 0000 1A20","1.7794177139473437","-62.5"
"913.25","E200 0000 0000 0000 0000 1A10","6.234097921967246","-63.0"
"913.25","E200 0000 0000 0000 0000 1A11","0.14726215563702155","-67.0"
"913.25","E200 0000 0000 0000 0000 1A21","2.337786720737717","-67.5"
"913.25","E200 0000 0000 0000 0000 1A10","6.178874613603362","-63.0"
"913.25","E200 0000 0000 0000 0000 1A20","1.9880391010997909","-63.0"
"913.25","E280 1160 6000 0207 A652 516D","0.5338253141842031","-32.0"
"913.25","E200 001D 700E 0093 2100 41FE","4.9823695990525625","-63.5"
"913.25","E200 0000 0000 0000 0000 AAA1","3.3870295796514958","-71.5"
"912.75","E200 0000 0000 0000 0000 1A11","0.3528155812136975","-67.5"
"912.75","E200 0000 0000 0000 0000 1A10","6.264777537724958","-62.5"
"912.75","E280 1160 6000 0207 A652 516D","0.6872233929727672","-32.0"
"912.75","E200 0000 0000 0000 0000 1A11","0.4111068511533518","-66.0"
"912.75","E200 001D 700E 0093 2100 41FE","5.221670601962723","-64.5"
"912.75","E200 0000 0000 0000 0000 1A20","2.098485717827557","-62.0"
"912.75","E280 1160 6000 0207 A652 5964","6.2034183062095325","-72.0"
"912.75","E200 0000 0000 0000 0000 AAA1","0.39269908169872414","-72.0"
"912.75","E280 1160 6000 0207 A652 516D","0.6994952392758523","-32.0"
"912.75","E200 0000 0000 0000 0000 1A10","0.22089323345553233","-62.0"
"912.75","E200 0000 0000 0000 0000 1A20","2.1046216409791","-63.0"
"912.75","E200 001D 700E 0093 2100 41FE","5.264622064023521","-64.5"
"912.75","E200 0000 0000 0000 0000 1A11","0.06135923151542565","-66.5"
"912.75","E200 0000 0000 0000 0000 1A21","5.773903685601553","-67.5"
"912.75","E280 1160 6000 0207 A652 5964","6.14819499784565","-72.0"
"912.75","E200 0000 0000 0000 0000 AAA1","0.28838838812250056","-71.5"
"912.75","E280 1160 6000 0207 A652 516D","0.6810874698212247","-32.0"
"912.75","E200 0000 0000 0000 0000 1A10","6.1850105367549055","-62.5"
"912.75","E200 0000 0000 0000 0000 1A21","2.1905245651006955","-67.0"
"912.75","E280 1160 6000 0209 5014 ECA0","2.521864415283994","-66.5"
"912.75","E200 0000 0000 0000 0000 1A11","0.3988350048502667","-66.0"
"912.75","E200 001D 700E 0093 2100 41FE","5.332117218690489","-65.0"
"912.75","E200 0000 0000 0000 0000 1A20","2.0800779483729293","-63.5"
"912.75","E280 1160 6000 0207 A652 5964","6.209554229361076","-72.0"
"902.75","E280 1160 6000 0207 A652 516D","3.7122335066832517","-29.0"
"902.75","E200 0000 0000 0000 0000 1A10","2.4605051837685683","-63.5"
"902.75","E200 0000 0000 0000 0000 1A20","1.4542137869155878","-65.5"
"902.75","E200 0000 0000 0000 0000 1A21","1.9389517158874505","-69.0"
"902.75","E200 0000 0000 0000 0000 1A11","0.006135923151542565","-67.0"
"902.75","E280 1160 6000 0207 A652 516D","3.706097583531709","-29.0"
"902.75","E200 0000 0000 0000 0000 1A10","2.497320722677824","-63.5"
"902.75","E200 0000 0000 0000 0000 1A20","1.2762720155208536","-64.5"
"902.75","E200 0000 0000 0000 0000 1A21","2.1475731030398975","-68.5"
"902.75","E280 1160 6000 0207 A652 516D","3.706097583531709","-29.0"
"902.75","E200 0000 0000 0000 0000 1A10","2.4850488763747385","-62.0"
"902.75","E200 0000 0000 0000 0000 1A11","6.1850105367549055","-67.5"
"902.75","E200 0000 0000 0000 0000 1A20","1.5155730184310134","-65.5"
"902.75","E200 0000 0000 0000 0000 1A21","2.055534255766759","-69.0"
"902.75","E280 1160 6000 0207 A652 516D","3.6876898140770815","-29.0"
"902.75","E200 0000 0000 0000 0000 1A10","2.9636508821950587","-62.5"
"902.75","E200 0000 0000 0000 0000 1A20","1.8039614065535141","-64.5"
"902.75","E200 0000 0000 0000 0000 1A11","6.264777537724958","-67.0"
"926.25","3039 6062 03C1 DF81 968A 3967","2.429825568010856","-62.0"
"926.25","E200 0000 0000 0000 0000 1A10","1.3560390164909069","-59.5"
"926.25","E200 0000 0000 0000 0000 1A11","1.5707963267948966","-63.5"
"926.25","E280 1160 6000 0207 A652 516D","3.2520392703175593","-35.5"
"926.25","E200 0000 0000 0000 0000 1A20","1.5033011721279284","-65.5"
"926.25","3039 6062 03C1 DF81 968A 3967","5.737088146692298","-62.0"
"926.25","E200 0000 0000 0000 0000 AAA2","5.829126993965437","-69.5"
"926.25","E200 0000 0000 0000 0000 1A21","1.9205439464328227","-71.0"
"926.25","E280 1160 6000 0207 A652 5964","0.5767767762450011","-73.0"
"926.25","E200 0000 0000 0000 0000 1A11","1.705786636128833","-64.0"
"926.25","3039 6062 03C1 DF81 968A 3967","5.66959299202533","-62.0"
"926.25","E280 1160 6000 0207 A652 516D","3.2520392703175593","-35.5"
"926.25","E200 0000 0000 0000 0000 1A10","1.4664856332186729","-59.5"
"926.25","E200 0000 0000 0000 0000 1A20","1.5155730184310134","-66.0"
"926.25","E200 0000 0000 0000 0000 AAA2","5.675728915176872","-70.0"
"926.25","E200 0000 0000 0000 0000 1A11","1.7916895602504288","-63.5"
"926.25","E200 0000 0000 0000 0000 1A20","1.239456476611598","-66.0"
"926.25","3039 6062 03C1 DF81 968A 3967","5.565282298449106","-61.0"
"926.25","E200 0000 0000 0000 0000 1A10","1.552388557340269","-59.0"
"926.25","E280 1160 6000 0207 A652 516D","3.2520392703175593","-35.5"
"926.25","E280 1160 6000 0207 A652 5964","0.8713010875190442","-73.0"
"926.25","E200 0000 0000 0000 0000 AAA2","5.638913376267617","-69.5"
"921.75","E200 001D 700E 0093 2100 41FE","5.5192628748125365","-67.0"
"921.75","E280 1160 6000 0209 5014 ECA0","6.135923151542564","-72.5"
"921.75","E200 0000 0000 0000 0000 AAA1","0.2945243112740431","-73.0"
"921.75","E200 0000 0000 0000 0000 1A20","3.7981364308048478","-65.5"
"921.75","E280 1160 6000 0207 A652 5964","3.184544115650591","-68.5"
"921.75","E200 0000 0000 0000 0000 1A10","3.3624858870453256","-60.0"
"921.75","3039 6062 03C1 DF81 968A 3967","1.8223691760081417","-62.0"
"921.75","E200 0000 0000 0000 0000 1A11","3.399301425954581","-64.5"
"921.75","E280 1160 6000 0207 A652 516D","4.485359823777615","-34.5"
"921.75","E200 0000 0000 0000 0000 1A21","4.270602513473625","-66.5"
"921.75","E200 001D 700E 0093 2100 41FE","5.583690067903734","-67.5"
"921.75","E280 1160 6000 0209 5014 ECA0","6.129787228391022","-73.0"
"921.75","E200 0000 0000 0000 0000 AAA1","0.15339807878856412","-73.5"
"921.75","E200 0000 0000 0000 0000 1A20","3.933126740138784","-64.0"
"921.75","3039 6062 03C1 DF81 968A 3967","1.9389517158874505","-61.5"
"921.75","E200 0000 0000 0000 0000 1A21","4.28287435977671","-66.5"
"921.75","E280 1160 6000 0207 A652 516D","4.473087977474529","-34.5"
"921.75","E200 0000 0000 0000 0000 1A10","3.3870295796514958","-60.5"
"921.75","E200 0000 0000 0000 0000 1A11","3.141592653589793","-64.0"
"921.75","E280 1160 6000 0207 A652 5964","0.11044661672776616","-70.0"
"921.75","E200 001D 700E 0093 2100 41FE","5.608233760509904","-67.0"
"921.75","E280 1160 6000 0209 5014 ECA0","6.117515382087937","-72.5"
"921.75","E200 0000 0000 0000 0000 1A11","3.429981041712294","-65.0"
"921.75","E280 1160 6000 0207 A652 516D","4.485359823777615","-34.5"
"921.75","E280 1160 6000 0207 A652 5964","3.2765829629237295","-69.0"
"921.75","E200 0000 0000 0000 0000 1A20","3.706097583531709","-65.5"
"921.75","3039 6062 03C1 DF81 968A 3967","1.8100973297050567","-62.0"
"921.75","E200 0000 0000 0000 0000 1A10","3.356349963893783","-60.5"
"921.75","E200 0000 0000 0000 0000 1A21","4.264466590322082","-68.0"
"916.25","E200 0000 0000 0000 0000 AAA1","0.8344855486097889","-71.0"
"916.25","E200 001D 700E 0093 2100 41FE","6.000932842208628","-65.5"
"916.25","E200 001D 700E 0111 2100 52AB","0.4111068511533518","-65.0"
"916.25","E200 0000 0000 0000 0000 1A21","0.6933593161243098","-67.0"
"916.25","E200 0000 0000 0000 0000 1A20","0.37429131224409645","-63.0"
"916.25","E200 0000 0000 0000 0000 1A10","5.190990986205009","-62.0"
"916.25","E280 1160 6000 0209 5014 ECA0","0.4111068511533518","-67.0"
"916.25","E280 1160 6000 0207 A652 516D","5.9518454569962875","-33.0"
"916.25","E200 0000 0000 0000 0000 1A11","5.424156065963627","-66.5"
"916.25","E200 001D 700E 0093 2100 41FE","6.043884304269426","-65.5"
"916.25","E200 0000 0000 0000 0000 AAA1","0.9878836273983529","-71.0"
"916.25","E200 0000 0000 0000 0000 1A10","5.332117218690489","-61.5"
"916.25","E280 1160 6000 0207 A652 516D","5.93343768754166","-33.0"
"916.25","E200 001D 700E 0093 2100 41FE","2.859340188618835","-65.5"
"916.25","E280 1160 6000 0209 5014 ECA0","0.48473792897186263","-67.0"
"916.25","E200 0000 0000 0000 0000 1A11","5.595961914206819","-65.5"
"916.25","E200 0000 0000 0000 0000 1A20","0.34974761963792617","-63.0"
"916.25","E200 0000 0000 0000 0000 1A21","0.760854470791278","-68.0"
"910.75","E200 0000 0000 0000 0000 1A10","3.8963112012295285","-63.5"
"910.75","E280 1160 6000 0207 A652 516D","1.2732040539450822","-31.5"
"910.75","E200 0000 0000 0000 0000 1A11","4.227651051412827","-67.5"
"910.75","E200 0000 0000 0000 0000 1A21","0.47860200582032003","-68.0"
"910.75","E280 1160 6000 0209 5014 ECA0","4.06811704947272","-66.5"
"910.75","E200 0000 0000 0000 0000 1A20","0.0521553467881118","-64.0"
"910.75","E200 001D 700E 0093 2100 41FE","0.4172427743048944","-66.0"
"910.75","E200 0000 0000 0000 0000 1A10","0.7976700097005334","-62.5"
