"CHANNEL","EPC","PHASE","RSSI"
"902.75","E200 0000 0000 0000 0000 1A20","1.5830681730979816","-64.0"
"902.75","E280 1160 6000 0207 A652 516D","2.429825568010856","-28.0"
"902.75","E200 0000 0000 0000 0000 1A21","2.6261751088602177","-65.5"
"902.75","E280 1160 6000 0209 5014 ECA0","0.662679700366597","-68.0"
"902.75","E280 1160 6000 0207 A652 516D","2.442097414313941","-28.0"
"902.75","E200 0000 0000 0000 0000 1A20","1.509437095279471","-62.5"
"902.75","E280 1160 6000 0209 5014 ECA0","0.6872233929727672","-68.5"
"902.75","E200 0000 0000 0000 0000 AAA1","0.1718058482431918","-71.0"
"902.75","E200 0000 0000 0000 0000 1A21","2.1475731030398975","-68.5"
"902.75","E200 0000 0000 0000 0000 1A20","1.8407769454627694","-63.0"
"902.75","E280 1160 6000 0207 A652 516D","2.435961491162398","-28.0"
"902.75","E200 0000 0000 0000 0000 AAA1","0.1902136176978195","-71.5"
"902.75","E280 1160 6000 0209 5014 ECA0","0.6258641614573416","-68.0"
"902.75","3035 15B8 9802 DE90 4000 11E7","0.1043106935762236","-68.5"
"902.75","E280 1160 6000 0207 A652 516D","2.423689644859313","-28.0"
"902.75","E200 0000 0000 0000 0000 1A20","1.6198837120072371","-63.0"
"902.75","E200 0000 0000 0000 0000 1A21","1.9512235621905356","-67.5"
"902.75","E280 1160 6000 0209 5014 ECA0","0.6994952392758523","-68.5"
"902.75","E200 0000 0000 0000 0000 AAA1","0.2086213871524472","-71.0"
"926.25","E200 0000 0000 0000 0000 1A11","5.347457026569345","-68.5"
"926.25","E280 1160 6000 0207 A652 516D","1.88986433067511","-36.0"
"926.25","E200 0000 0000 0000 0000 AAA2","2.6016314162540475","-67.0"
"926.25","E200 0000 0000 0000 0000 1A20","1.2701360923693108","-70.5"
"926.25","E200 0000 0000 0000 0000 1A10","5.387340527054372","-63.5"
"926.25","E280 1160 6000 0207 A652 516D","1.8837284075235674","-36.0"
"926.25","E200 0000 0000 0000 0000 AAA2","2.6323110320117604","-67.0"
"926.25","E200 0000 0000 0000 0000 1A20","1.4664856332186729","-70.5"
"926.25","E200 0000 0000 0000 0000 1A10","2.2396119503130363","-62.0"
"926.25","E280 1160 6000 0207 A652 516D","1.88986433067511","-36.0"
"926.25","E200 0000 0000 0000 0000 AAA2","2.6200391857086753","-66.5"
"926.25","E280 1160 6000 0207 A652 5964","0.2699806186678728","-70.5"
"921.75","E200 0000 0000 0000 0000 1A21","0.6565437772150544","-71.0"
"921.75","E200 0000 0000 0000 0000 1A11","0.9510680884890975","-69.5"
"921.75","E200 0000 0000 0000 0000 1A20","0.4479223900626072","-67.0"
"921.75","E280 1160 6000 0207 A652 516D","3.067961575771282","-35.5"
"921.75","E200 0000 0000 0000 0000 1A10","4.1601558967458585","-64.0"
"921.75","E280 1160 6000 0207 A652 5964","3.08636934522591","-67.0"
"921.75","E200 0000 0000 0000 0000 1A11","0.9633399347921826","-69.5"
"921.75","E200 0000 0000 0000 0000 AAA2","5.737088146692298","-69.0"
"921.75","E200 0000 0000 0000 0000 1A21","0.8099418560036186","-71.0"
"921.75","E280 1160 6000 0207 A652 5964","2.890019804376548","-67.5"
