"CHANNEL","EPC","PHASE","RSSI"
"919.25","E200 0000 0000 0000 0000 1A20","2.448233337465483","-63.0"
"919.25","E280 1160 6000 0207 A652 5963","1.1719613219446299","-68.0"
"919.25","E200 001D 700E 0093 2100 41FE","0.18407769454627693","-64.0"
"919.25","E280 1160 6000 0207 A652 516D","0.15339807878856412","-38.0"
"919.25","E280 1160 6000 0207 A652 5964","4.828971520263998","-64.0"
"919.25","E200 0000 0000 0000 0000 1A21","5.884350302329319","-68.5"
"919.25","E280 1160 6000 0207 A652 516D","0.1349903093339364","-38.0"
"919.25","E200 0000 0000 0000 0000 1A21","2.1966604882522383","-67.5"
"919.25","E200 0000 0000 0000 0000 1A20","2.3071071049800045","-63.5"
"919.25","E280 1160 6000 0207 A652 5963","1.0492428589137786","-67.0"
"919.25","E280 1160 6000 0207 A652 5964","4.841243366567084","-63.5"
"919.25","E200 001D 700E 0093 2100 41FE","0.1595340019401067","-65.0"
"919.25","E200 001D 700E 0093 2100 41FE","0.3865631585471816","-65.5"
"919.25","E280 1160 6000 0207 A652 516D","0.14112623248547898","-38.0"
"919.25","E280 1160 6000 0207 A652 5963","0.7363107781851077","-67.5"
"919.25","E280 1160 6000 0207 A652 5964","4.7307967498393175","-63.5"
"919.25","E200 0000 0000 0000 0000 1A21","2.552544031041707","-68.5"
"919.25","E200 0000 0000 0000 0000 1A20","2.4605051837685683","-63.5"
"907.75","E280 1160 6000 0207 A652 516D","3.7429131224409646","-36.0"
"907.75","E200 0000 0000 0000 0000 1A20","0.4295146206079795","-66.0"
"907.75","E280 1160 6000 0207 A652 5964","4.7307967498393175","-71.0"
"907.75","E200 0000 0000 0000 0000 1A20","3.6079228131070282","-65.0"
"907.75","E280 1160 6000 0207 A652 516D","3.749049045592507","-36.0"
"907.75","E280 1160 6000 0207 A652 5964","4.651029748869264","-71.0"
"907.75","E280 1160 6000 0207 A652 516D","3.736777199289422","-36.0"
"907.75","E200 0000 0000 0000 0000 1A20","0.4540583132141498","-66.5"
"907.75","E280 1160 6000 0207 A652 5964","1.368310862793992","-71.5"
"907.75","E200 0000 0000 0000 0000 1A21","0.4663301595172349","-71.0"
"907.75","E200 0000 0000 0000 0000 1A20","3.6140587362585705","-65.0"
"907.75","E280 1160 6000 0207 A652 516D","3.7429131224409646","-36.0"
"907.75","E280 1160 6000 0207 A652 5964","1.564660403643354","-71.0"
"910.25","E280 1160 6000 0207 A652 516D","2.945243112740431","-36.5"
"910.25","E200 0000 0000 0000 0000 1A20","5.117359908386499","-64.5"
"910.25","E280 1160 6000 0207 A652 5964","0.4540583132141498","-70.0"
"910.25","E200 0000 0000 0000 0000 1A21","1.9512235621905356","-69.5"
"910.25","E200 0000 0000 0000 0000 1A20","1.846912868614312","-64.0"
"910.25","E280 1160 6000 0207 A652 516D","2.9759227284981438","-36.5"
"910.25","E280 1160 6000 0207 A652 5964","3.6017868899554855","-68.5"
"910.25","E280 1160 6000 0207 A652 516D","2.9697868053466014","-36.5"
"910.25","E200 0000 0000 0000 0000 1A20","2.012582793705961","-64.0"
"910.25","E280 1160 6000 0207 A652 5963","5.675728915176872","-69.0"
"910.25","E200 0000 0000 0000 0000 1A21","2.1353012567368124","-69.0"
"910.25","E280 1160 6000 0207 A652 5964","0.4479223900626072","-70.0"
"910.25","E200 0000 0000 0000 0000 1A20","1.8530487917658545","-64.0"
"910.25","E280 1160 6000 0207 A652 516D","2.9391071895888885","-36.5"
"910.25","E200 0000 0000 0000 0000 1A21","2.1537090261914402","-69.0"
"910.25","E280 1160 6000 0207 A652 5963","5.688000761479957","-69.0"
"916.75","E280 1160 6000 0207 A652 5963","2.9943304979527716","-65.5"
"916.75","E280 1160 6000 0207 A652 5964","6.1420590746941075","-65.0"
"916.75","E200 0000 0000 0000 0000 1A21","4.227651051412827","-67.0"
"916.75","E280 1160 6000 0207 A652 516D","0.9387962421860124","-37.0"
"916.75","E200 0000 0000 0000 0000 1A20","4.049709280018092","-63.5"
"916.75","E200 001D 700E 0093 2100 41FE","2.0064468705544187","-64.5"
"916.75","E200 001D 700E 0093 2100 41FE","2.0923497946760143","-65.0"
"916.75","E200 0000 0000 0000 0000 1A20","4.166291819897402","-63.5"
"916.75","E200 0000 0000 0000 0000 1A21","4.331961744989051","-67.0"
"916.75","E280 1160 6000 0207 A652 516D","0.9387962421860124","-37.0"
"916.75","E280 1160 6000 0207 A652 5964","0.07363107781851078","-64.5"
"916.75","E280 1160 6000 0207 A652 5963","3.2213596545598464","-66.0"
"916.75","E200 001D 700E 0093 2100 41FE","2.061670178918302","-63.5"
"916.75","E280 1160 6000 0207 A652 5964","0.018407769454627694","-65.0"
"916.75","E200 0000 0000 0000 0000 1A21","4.264466590322082","-66.5"
"916.75","E280 1160 6000 0207 A652 5963","3.5711072741977725","-65.5"
"916.75","E280 1160 6000 0207 A652 516D","0.9387962421860124","-37.0"
"916.75","E200 0000 0000 0000 0000 1A20","3.9453985864418692","-63.5"
"916.75","E280 1160 6000 0207 A652 516D","0.944932165337555","-37.0"
"916.75","E280 1160 6000 0207 A652 5964","0.1902136176978195","-64.5"
"916.75","E200 001D 700E 0093 2100 41FE","2.1598449493429825","-64.5"
"916.75","E280 1160 6000 0207 A652 5963","3.2888548092268146","-65.0"
"916.75","E200 0000 0000 0000 0000 1A21","4.2092432819582","-67.0"
"916.75","E200 0000 0000 0000 0000 1A20","4.0987966652304335","-63.5"
"916.75","E280 1160 6000 0207 A652 5963","2.9820586516496865","-66.0"
"916.75","E280 1160 6000 0207 A652 516D","0.9694758579437253","-37.0"
"916.75","E280 1160 6000 0207 A652 5964","6.2463697682703305","-64.5"
"916.75","E200 0000 0000 0000 0000 1A21","4.166291819897402","-67.5"
"916.75","E200 001D 700E 0093 2100 41FE","2.0923497946760143","-66.0"
"916.75","E200 0000 0000 0000 0000 1A20","4.252194744018997","-63.0"
"908.75","E280 1160 6000 0207 A652 516D","3.442252888015379","-36.0"
"908.75","E280 1160 6000 0207 A652 5963","0.6442719309119693","-70.0"
"908.75","E200 0000 0000 0000 0000 1A20","6.068427996875596","-65.5"
"908.75","E280 1160 6000 0207 A652 5964","4.295146206079795","-70.5"
"908.75","E280 1160 6000 0207 A652 516D","3.448388811166921","-36.0"
"908.75","E200 0000 0000 0000 0000 1A20","6.019340611663256","-65.5"
"908.75","E280 1160 6000 0207 A652 5963","3.706097583531709","-69.5"
"908.75","E280 1160 6000 0207 A652 516D","3.442252888015379","-36.0"
"908.75","E200 0000 0000 0000 0000 1A20","2.9697868053466014","-63.5"
"908.75","E200 0000 0000 0000 0000 1A21","6.178874613603362","-70.0"
"908.75","E280 1160 6000 0207 A652 5963","3.749049045592507","-69.5"
"908.75","E280 1160 6000 0207 A652 5964","1.086058397823034","-70.5"
"904.25","E280 1160 6000 0207 A652 516D","4.743068596142402","-35.5"
"904.25","E200 0000 0000 0000 0000 1A20","5.473243451175968","-69.0"
"904.25","E280 1160 6000 0207 A652 516D","4.749204519293945","-35.5"
"904.25","E200 0000 0000 0000 0000 1A20","5.485515297479052","-68.5"
"904.25","E280 1160 6000 0207 A652 5964","5.700272607783043","-73.0"
"904.25","E280 1160 6000 0207 A652 516D","4.743068596142402","-35.5"
"904.25","E200 0000 0000 0000 0000 1A20","5.436427912266712","-69.0"
"904.25","E280 1160 6000 0207 A652 516D","4.755340442445488","-35.5"
"922.25","E200 0000 0000 0000 0000 1A20","0.8283496254582462","-64.0"
"922.25","E200 001D 700E 0093 2100 41FE","4.73693267299086","-65.0"
"922.25","E200 0000 0000 0000 0000 AAA2","5.8659425328746915","-68.5"
"922.25","E200 0000 0000 0000 0000 1A20","0.6504078540635119","-63.5"
"922.25","E280 1160 6000 0207 A652 5964","2.9820586516496865","-64.0"
"922.25","E280 1160 6000 0207 A652 516D","5.4671075280244255","-38.5"
"922.25","E200 0000 0000 0000 0000 1A10","6.080699843178682","-70.0"
"922.25","E200 001D 700E 0093 2100 41FE","1.3314953238847365","-66.5"
"922.25","E200 0000 0000 0000 0000 1A21","0.9326603190344698","-69.0"
"922.25","E280 1160 6000 0207 A652 516D","5.4671075280244255","-38.5"
"922.25","E280 1160 6000 0207 A652 5964","2.8777479580734626","-64.5"
"922.25","E200 0000 0000 0000 0000 1A20","0.7117670855789375","-63.0"
"922.25","E200 001D 700E 0093 2100 41FE","4.166291819897402","-65.5"
"922.25","E200 0000 0000 0000 0000 1A10","6.056156150572511","-70.0"
"922.25","E280 1160 6000 0207 A652 516D","5.473243451175968","-38.5"
"922.25","E200 0000 0000 0000 0000 1A20","0.6810874698212247","-64.0"
"922.25","E200 001D 700E 0093 2100 41FE","4.331961744989051","-66.5"
"918.25","E280 1160 6000 0207 A652 5964","2.089281833100243","-64.5"
"918.25","E200 0000 0000 0000 0000 1A21","3.32567034813607","-69.0"
"918.25","E280 1160 6000 0207 A652 5963","4.994641445355648","-67.5"
"918.25","E200 001D 700E 0111 2100 52AB","4.847379289718626","-64.5"
"918.25","E280 1160 6000 0207 A652 516D","0.4479223900626072","-37.5"
"918.25","E280 1160 6000 0207 A652 5963","1.7855536370988863","-66.5"
"918.25","E280 1160 6000 0207 A652 5964","5.289165756629691","-63.5"
"918.25","E200 0000 0000 0000 0000 1A20","3.2704470397721868","-64.5"
"918.25","E200 001D 700E 0093 2100 41FE","0.9694758579437253","-64.0"
"918.25","E200 0000 0000 0000 0000 1A21","0.28225246497095796","-69.0"
"918.25","E280 1160 6000 0207 A652 5963","1.6444274046134073","-67.0"
"918.25","E200 001D 700E 0093 2100 41FE","1.184233168247715","-64.0"
"918.25","E200 0000 0000 0000 0000 1A20","3.098641191528995","-63.5"
"918.25","E280 1160 6000 0207 A652 5964","5.258486140871978","-63.5"
"918.25","E280 1160 6000 0207 A652 516D","0.4295146206079795","-37.5"
"918.25","E200 0000 0000 0000 0000 1A21","0.2086213871524472","-69.0"
"918.25","E280 1160 6000 0207 A652 516D","0.4479223900626072","-37.5"
"918.25","E200 0000 0000 0000 0000 1A20","3.2704470397721868","-64.0"
"918.25","E280 1160 6000 0207 A652 5964","5.270757987175063","-63.0"
"918.25","E280 1160 6000 0207 A652 5963","1.9205439464328227","-67.5"
"918.25","E200 001D 700E 0093 2100 41FE","4.25833066717054","-65.0"
"918.25","E200 0000 0000 0000 0000 1A21","3.32567034813607","-69.0"
"924.25","E280 1160 6000 0207 A652 5964","1.7978254834019713","-64.5"
"924.25","E280 1160 6000 0207 A652 516D","4.859651136021712","-39.0"
"924.25","E200 0000 0000 0000 0000 1A20","5.915029918087033","-65.0"
"924.25","E200 0000 0000 0000 0000 1A10","1.859184714917397","-67.5"
"924.25","E200 0000 0000 0000 0000 AAA2","4.338097668140593","-68.0"
"924.25","E280 1160 6000 0207 A652 5963","0.1227184630308513","-72.0"
"924.25","E280 1160 6000 0207 A652 5964","1.5953400194010667","-65.0"
"924.25","E280 1160 6000 0207 A652 516D","4.859651136021712","-39.0"
"924.25","E200 0000 0000 0000 0000 1A20","5.853670686571607","-64.0"
"924.25","E200 0000 0000 0000 0000 AAA2","4.3933209765044765","-68.0"
"924.25","E200 0000 0000 0000 0000 1A21","6.037748381117884","-69.5"
"924.25","E200 0000 0000 0000 0000 1A10","5.117359908386499","-68.5"
"924.25","E280 1160 6000 0207 A652 516D","4.859651136021712","-39.0"
"924.25","E200 0000 0000 0000 0000 1A20","5.767767762450011","-64.5"
"924.25","E280 1160 6000 0207 A652 5964","1.7732817907958012","-64.5"
"924.25","E200 001D 700E 0093 2100 41FE","0.09203884727313846","-68.0"
"924.25","E200 0000 0000 0000 0000 1A21","6.043884304269426","-69.5"
"925.75","E200 0000 0000 0000 0000 AAA2","0.1718058482431918","-67.5"
"925.75","E200 0000 0000 0000 0000 1A11","1.3621749396424494","-71.5"
"925.75","E280 1160 6000 0207 A652 5964","0.8713010875190442","-65.5"
"925.75","E280 1160 6000 0207 A652 516D","4.460816131171445","-39.5"
"925.75","E200 0000 0000 0000 0000 1A20","5.123495831538041","-65.0"
"925.75","E200 0000 0000 0000 0000 AAA2","2.9575149590435164","-65.5"
"925.75","E200 0000 0000 0000 0000 1A11","1.4603497100671303","-71.5"
