CHANNEL,RSSI,PHASE
902.75,-59.630653266331656,6.122942128191813
903.25,-59.5,5.9961844393677355
903.75,-59.01005025125628,5.828263647994365
904.25,-59.91959798994975,5.69469169275576
904.75,-59.959798994974875,5.56814984042445
905.25,-59.7286432160804,5.392643938019525
905.75,-59.08040201005025,5.208473742119204
906.25,-59.49748743718593,5.118223254357569
906.75,-59.49748743718593,4.961988467378343
907.25,-59.085427135678394,4.822033918710747
907.75,-59.55778894472362,4.666477474994505
908.25,-59.60301507537689,4.566884350474492
908.75,-59.50753768844221,4.358879639015667
909.25,-59.494974874371856,4.242482101844445
909.75,-59.482412060301506,4.0824547593494405
910.25,-59.60301507537689,3.9388309903047904
910.75,-59.99246231155779,3.7830895438804624
911.25,-59.994974874371856,3.656917696965325
911.75,-59.50251256281407,3.4750908687007698
912.25,-60.20603015075377,3.3578916531278393
912.75,-60.0929648241206,3.1231540503504847
913.25,-60.3643216080402,3.017825841879784
913.75,-60.5,2.87105702679766
914.25,-60.21608040201005,2.8054118992115593
914.75,-60.4070351758794,2.6196691802925023
915.25,-60.472361809045225,2.4843396993270725
915.75,-60.84924623115578,2.3827115450181067
916.25,-60.675879396984925,2.246534134973947
916.75,-60.653266331658294,2.1994971964429006
917.25,-60.55778894472362,1.9148088624821349
917.75,-61.04522613065327,1.7398271344167877
918.25,-61.00251256281407,1.6771112163753927
918.75,-61.14572864321608,1.6020309506768695
919.25,-61.959798994974875,1.485062988489047
919.75,-61.836683417085425,1.4981981807632034
920.25,-61.85929648241206,1.267268550393967
920.75,-61.81909547738694,1.2120144082454025
921.25,-61.902010050251256,1.0705644210207719
921.75,-61.585427135678394,0.9485088843605647
922.25,-61.67336683417086,0.879687876952308
922.75,-61.505025125628144,0.6892584227617211
923.25,-60.085427135678394,0.5842693859225129
923.75,-61.902010050251256,0.4190003000317181
924.25,-60.67336683417086,0.375740500124109
924.75,-61.44472361809045,0.19514702324679845
925.25,-60.585427135678394,0.14242125144208595
925.75,-60.982412060301506,0.20448966000517735
926.25,-60.91708542713568,6.129725560821659
926.75,-60.50251256281407,6.015054715592581
927.25,-60.45477386934673,5.762865190685713
