CHANNEL,RSSI,PHASE
902.75,-55.48994974874372,2.3895874790019964
903.25,-55.50251256281407,2.270723239056285
903.75,-55.5,2.1425780299215567
904.25,-55.48994974874372,1.9668254572391817
904.75,-55.482412060301506,1.8550529877701274
905.25,-55.5,1.704707453664994
905.75,-55.99748743718593,1.5689771334987104
906.25,-56.0,1.4460428339750915
906.75,-55.98994974874372,1.2822229359643094
907.25,-55.5,1.1744896922884815
907.75,-55.994974874371856,1.0296634056412683
908.25,-56.0,0.9041699019891164
908.75,-56.005025125628144,0.7183655155006969
909.25,-56.00251256281407,0.5134133487253028
909.75,-56.47989949748744,0.4245503812743195
910.25,-56.42462311557789,0.28518167451566423
910.75,-56.52010050251256,0.06752598845164934
911.25,-57.0,6.233357911134898
911.75,-57.00251256281407,6.08150152158039
912.25,-56.608040201005025,5.959677238305291
912.75,-56.972361809045225,5.782968818297801
913.25,-57.14070351758794,5.639684220884645
913.75,-57.08040201005025,5.479256039188787
914.25,-57.50753768844221,5.355335058555371
914.75,-57.49748743718593,5.257530293546862
915.25,-57.505025125628144,5.0430196535203216
915.75,-57.99748743718593,4.969111071639682
916.25,-57.891959798994975,4.770819002355409
916.75,-58.49748743718593,4.708411422160826
917.25,-58.472361809045225,4.58970135113852
917.75,-58.482412060301506,4.49433245511982
918.25,-58.50251256281407,4.349259498195158
918.75,-58.99748743718593,4.208688273833939
919.25,-58.972361809045225,4.097563313843189
919.75,-59.037688442211056,3.9955034865486856
920.25,-59.45728643216081,3.8374186724885924
920.75,-59.49748743718593,3.72157614344163
921.25,-59.00251256281407,3.5464402464528777
921.75,-59.459798994974875,3.4455521029762584
922.25,-59.5,3.2969024270285865
922.75,-59.49748743718593,3.1907417063714956
923.25,-59.5,3.020292544654273
923.75,-59.108040201005025,2.9085509089699
924.25,-59.027638190954775,2.7055104368447354
924.75,-58.99748743718593,2.588712060472659
925.25,-59.41959798994975,2.442806591361607
925.75,-59.49748743718593,2.3832973869270475
926.25,-59.03517587939699,2.1462780840832907
926.75,-59.41959798994975,2.091239778427494
927.25,-58.99246231155779,1.8872126251925336
