CHANNEL,RSSI,PHASE
902.75,-56.04773869346734,5.27948394823982
903.25,-56.0,5.22463064529211
903.75,-56.005025125628144,5.086248619643251
904.25,-56.00251256281407,4.973242798786952
904.75,-56.5,4.8447584180207315
905.25,-56.99748743718593,4.768136463088151
905.75,-57.00753768844221,4.61039082065955
906.25,-56.99748743718593,4.582362910384412
906.75,-56.505025125628144,4.364614722966355
907.25,-56.5,4.304673845546261
907.75,-56.98994974874372,4.157442523693921
908.25,-56.51005025125628,3.999881883973405
908.75,-56.94472361809045,3.860852348846242
909.25,-56.5,3.7485557050376093
909.75,-56.47989949748744,3.5817757636974394
910.25,-56.49748743718593,3.482275140531471
910.75,-56.49246231155779,3.242850802482586
911.25,-56.562814070351756,3.115969778519784
911.75,-56.50251256281407,2.9334646069922434
912.25,-56.42462311557789,2.815802884649096
912.75,-55.982412060301506,2.6383852875939406
913.25,-56.494974874371856,2.5522356931948957
913.75,-56.64824120603015,2.406977733562147
914.25,-56.49748743718593,2.215037423922184
914.75,-56.50753768844221,2.0763778942111952
915.25,-56.17336683417086,1.9081179312063317
915.75,-56.505025125628144,1.80991232699697
916.25,-57.017587939698494,1.6258808831277145
916.75,-57.00753768844221,1.5995950816870612
917.25,-57.17336683417086,1.415733223633552
917.75,-57.449748743718594,1.3184526329646233
918.25,-57.369346733668344,1.197769199722726
918.75,-57.3391959798995,1.0507537143631536
919.25,-56.46733668341709,0.9257535512658993
919.75,-57.25125628140704,0.8798420458757139
920.25,-57.778894472361806,0.7631361708576807
920.75,-57.494974874371856,0.5840227156450639
921.25,-57.88442211055276,0.43645222216123114
921.75,-57.23869346733668,0.34219334239105215
922.25,-56.98994974874372,0.2117972669746024
922.75,-57.11557788944724,0.06891350876229965
923.25,-56.982412060301506,6.195740693823933
923.75,-56.505025125628144,6.04126343257153
924.25,-56.0678391959799,5.900630540640949
924.75,-56.02512562814071,5.77519870455816
925.25,-56.38442211055276,5.634041638288
925.75,-56.48994974874372,5.4482064180149
926.25,-56.017587939698494,5.327492150988321
926.75,-55.517587939698494,5.162839740791148
927.25,-55.50251256281407,5.011476691791539
