CHANNEL,RSSI,PHASE
902.75,-60.437185929648244,3.2107836664142226
903.25,-60.50251256281407,3.1608946028001736
903.75,-60.50251256281407,3.0834401356812036
904.25,-59.824120603015075,2.998184721037912
904.75,-60.2286432160804,2.8559484723039117
905.25,-60.00251256281407,2.7890699933305663
905.75,-59.91708542713568,2.6728266250827497
906.25,-59.50251256281407,2.5925971173424798
906.75,-59.595477386934675,2.385024078869191
907.25,-59.505025125628144,2.3538819563412607
907.75,-59.459798994974875,2.17797521473548
908.25,-59.005025125628144,2.090900606796002
908.75,-58.537688442211056,1.9230723167766746
909.25,-58.97989949748744,1.7790785423158513
909.75,-58.97989949748744,1.667244405277435
910.25,-58.562814070351756,1.5671579402025246
910.75,-58.494974874371856,1.3692667101191065
911.25,-58.0,1.2150669529288334
911.75,-58.00251256281407,1.1114346026155946
912.25,-58.037688442211056,0.9693216890203196
912.75,-58.005025125628144,0.7987491921643726
913.25,-58.01005025125628,0.7121062572104297
913.75,-58.47487437185929,0.4993839766953939
914.25,-58.00251256281407,0.37466131766026983
914.75,-58.03266331658291,0.19631870706468096
915.25,-57.98994974874372,0.16634826835463384
915.75,-58.14070351758794,6.208074207696381
916.25,-57.53517587939699,6.102591830302275
916.75,-57.49748743718593,5.992361050067277
917.25,-57.51256281407035,5.882654444171859
917.75,-57.5,5.7193895542853355
918.25,-57.52512562814071,5.581901708392229
918.75,-57.50251256281407,5.456685708802207
919.25,-56.8391959798995,5.309731891011998
919.75,-57.608040201005025,5.170825691023558
920.25,-56.620603015075375,5.047243882021636
920.75,-56.91959798994975,4.943642365493078
921.25,-57.246231155778894,4.69422788120751
921.75,-56.949748743718594,4.555290847434391
922.25,-56.982412060301506,4.478360554655002
922.75,-56.95226130653266,4.407566185027154
923.25,-56.99246231155779,4.160556735946713
923.75,-57.02010050251256,4.011814558644998
924.25,-57.0,3.8056290404823585
924.75,-56.57537688442211,3.6742154501714324
925.25,-56.54271356783919,3.523561578219488
925.75,-56.97487437185929,3.3397613877353414
926.25,-57.47487437185929,3.165797174564471
926.75,-57.404522613065325,3.079955918012238
927.25,-57.0,2.8878614394488697
