CHANNEL,RSSI,PHASE
902.75,-46.0,1.5717830079046924
903.25,-46.0,1.4468136785921193
903.75,-45.5,1.3040840893032224
904.25,-45.5,1.1466159509367506
904.75,-45.5,1.0218932919016266
905.25,-46.0,0.8718252618586232
905.75,-46.0,0.7247172751450073
906.25,-46.0,0.5991621039234931
906.75,-45.505025125628144,0.4351572032046242
907.25,-45.99748743718593,0.28922090030889075
907.75,-46.00251256281407,0.1637582304414199
908.25,-46.5,6.2140867957092
908.75,-46.0,6.14017821382856
909.25,-46.0,5.967755689891745
909.75,-45.5,5.843988878181735
910.25,-45.50251256281407,5.689943289914868
910.75,-46.0,5.57971250967987
911.25,-46.0,5.390639742015251
911.75,-45.5,5.240140038986713
912.25,-45.5,5.1213991341797245
912.75,-45.50251256281407,4.987734677587077
913.25,-46.0,4.820553897046053
913.75,-46.0,4.694382050130917
914.25,-46.0,4.508485162288454
914.75,-45.505025125628144,4.3695481285153335
915.25,-45.51005025125628,4.240508739624853
915.75,-46.0,4.077089680814925
916.25,-46.494974874371856,3.929395852192368
916.75,-46.0,3.785679581793676
917.25,-45.982412060301506,3.6023418980797457
917.75,-46.0,3.445243765129447
918.25,-46.0,3.297179931090717
918.75,-46.5,3.147697742956655
919.25,-46.49748743718593,2.972592679752583
919.75,-46.0,2.7903958460718545
920.25,-46.0,2.6328660401360207
920.75,-46.00251256281407,2.5242077829197593
921.25,-46.5,2.344230981736071
921.75,-46.49748743718593,2.16721422388177
922.25,-46.00251256281407,2.0138778126625683
922.75,-46.00251256281407,1.8874592954699825
923.25,-46.5,1.7403821425410477
923.75,-47.0,1.609986067124598
924.25,-46.99748743718593,1.4432061257844286
924.75,-47.0,1.306859129924523
925.25,-47.0,1.1589494648091978
925.75,-47.0,1.050630379224429
926.25,-47.5,0.8951047692928675
926.75,-48.0,0.7393941566532196
927.25,-47.50251256281407,0.569191665213446
