DISTANCE,CHANNEL,RSSI,PHASE
30.0,902.75,-38.5,1.3967087784853018
30.0,903.25,-38.0,1.273774478961683
30.0,903.75,-38.0,1.1247239638131563
30.0,904.25,-38.0,1.0047805414036055
30.0,904.75,-38.5,0.8620201183300276
30.0,905.25,-38.5,0.7316548766982589
30.0,905.75,-38.00251256281407,0.5779484600628836
30.0,906.25,-38.0,0.4295454543926607
30.0,906.75,-38.0,0.2913175976672068
30.0,907.25,-38.494974874371856,0.14174290817910135
30.0,907.75,-38.5,0.03154296172878414
30.0,908.25,-38.5,-0.134743639056488
30.0,908.75,-38.0,-0.29326012610211905
30.0,909.25,-38.0,-0.4445306737476846
30.0,909.75,-38.0,-0.5648441015734083
30.0,910.25,-38.005025125628144,-0.6840475131506123
30.0,910.75,-38.5,-0.8256979199756698
30.0,911.25,-38.0,-0.9818710393855339
30.0,911.75,-38.0,-1.099902767144858
30.0,912.25,-38.0,-1.2306071804081178
30.0,912.75,-38.0,-1.3664300019284426
30.0,913.25,-38.0,-1.4981210963015004
30.0,913.75,-38.5,-1.623059591829393
30.0,914.25,-38.0,-1.7498481144381515
30.0,914.75,-38.0,-1.8993919701415756
30.0,915.25,-38.0,-2.0286163617401423
30.0,915.75,-38.0,-2.160029952051069
30.0,916.25,-38.0,-2.311053829419188
30.0,916.75,-38.5,-2.410646953939201
30.0,917.25,-38.0,-2.5918879402948134
30.0,917.75,-37.99748743718593,-2.724565715777666
30.0,918.25,-37.50251256281407,-2.8648286022920746
30.0,918.75,-38.0,-3.010610736264403
30.0,919.25,-38.494974874371856,-3.147697742956655
30.0,919.75,-38.0,-3.2795121724684355
30.0,920.25,-37.51005025125628,-3.418757544088366
30.0,920.75,-37.5,-3.5544570304699685
30.0,921.25,-37.5,-3.6982041346533427
30.0,921.75,-37.5,-3.8161125272739405
30.0,922.25,-38.0,-3.946015262135491
30.0,922.75,-37.50251256281407,-4.0757946618583185
30.0,923.25,-37.5,-4.216242551080813
30.0,923.75,-37.01005025125628,-4.340718539838489
30.0,924.25,-37.0,-4.452891848508397
30.0,924.75,-37.5,-4.57043023571282
30.0,925.25,-37.5,-4.710076446533606
30.0,925.75,-37.5,-4.82705982561377
30.0,926.25,-37.0,-4.978546209752103
30.0,926.75,-37.0,-5.112734840684332
30.0,927.25,-37.0,-5.247632648664224
33.0,902.75,-40.0,0.17140500904233727
33.0,903.25,-40.0,0.030525446834307232
33.0,903.75,-40.0,-0.09576973521955434
33.0,904.25,-39.5,-0.25558124122179127
33.0,904.75,-39.5,-0.40080836706985856
33.0,905.25,-39.0,-0.5571048216184478
33.0,905.75,-39.5,-0.6940684931719749
33.0,906.25,-39.5,-0.841484817732403
33.0,906.75,-39.0,-1.001203822380596
33.0,907.25,-38.5,-1.1471092914916499
33.0,907.75,-38.5,-1.2886363631779805
33.0,908.25,-39.0,-1.4277583996591874
33.0,908.75,-39.00251256281407,-1.5887724232639888
33.0,909.25,-39.0,-1.7234543947511147
33.0,909.75,-38.5,-1.8836050723848432
33.0,910.25,-38.5,-2.0101469247161523
33.0,910.75,-38.5,-2.17797521473548
33.0,911.25,-39.0,-2.315185556566457
33.0,911.75,-39.0,-2.451224214579552
33.0,912.25,-39.0,-2.625404264243189
33.0,912.75,-38.5,-2.7639096250307738
33.0,913.25,-38.50251256281407,-2.8956315531885113
33.0,913.75,-39.0,-3.043171212887663
33.0,914.25,-39.5,-3.1938867524089694
33.0,914.75,-39.0,-3.3434306081123943
33.0,915.25,-38.5,-3.4689857793339085
33.0,915.75,-38.5,-3.614089570043252
33.0,916.25,-38.5,-3.7509915740274176
33.0,916.75,-39.0,-3.875035889799557
33.0,917.25,-39.0,-4.010735376181158
33.0,917.75,-38.5,-4.160834240008843
33.0,918.25,-38.5,-4.295207873649158
33.0,918.75,-38.5,-4.426498128821359
33.0,919.25,-38.5,-4.563615969298294
33.0,919.75,-39.0,-4.7011654827607625
33.0,920.25,-38.505025125628144,-4.8166380063915515
33.0,920.75,-38.5,-4.976727016455918
33.0,921.25,-38.5,-5.111624824435811
33.0,921.75,-38.5,-5.239862534924582
33.0,922.25,-38.5,-5.369796103570815
33.0,922.75,-39.0,-5.495443776146373
33.0,923.25,-38.5,-5.6602195214822695
33.0,923.75,-38.5,-5.787809722492738
33.0,924.25,-38.0,-5.928411780638638
33.0,924.75,-38.49748743718593,-6.0650671143453545
33.0,925.25,-38.5,-6.185812215156615
33.0,925.75,-38.5,-6.337360266864311
33.0,926.25,-38.0,-6.495568416063131
33.0,926.75,-37.50251256281407,-6.643416413609092
33.0,927.25,-37.5,-6.784295975817122
36.0,902.75,-41.0,-0.8334680337153104
36.0,903.25,-40.5,-0.9811001947685059
36.0,903.75,-40.0,-1.1139938067441264
36.0,904.25,-40.0,-1.255860050061954
36.0,904.75,-40.0,-1.3921762121371781
36.0,905.25,-40.005025125628144,-1.5342274581630893
36.0,905.75,-40.0,-1.676278704189003
36.0,906.25,-39.5,-1.8404069400465968
36.0,906.75,-39.5,-1.9858807361721134
36.0,907.25,-39.5,-2.1295045052167625
36.0,907.75,-39.5,-2.2840742678232084
36.0,908.25,-39.5,-2.4400623845249862
36.0,908.75,-39.5,-2.6143657693273497
36.0,909.25,-39.0,-2.7653588129107862
36.0,909.75,-39.0,-2.9259103297453697
36.0,910.25,-39.5,-3.073295820521116
36.0,910.75,-39.5,-3.2153470665470296
36.0,911.25,-39.0,-3.393134669018358
36.0,911.75,-39.0,-3.537251778617905
36.0,912.25,-39.0,-3.6814305557868146
