CHANNEL,RSSI,PHASE
902.75,-57.753768844221106,4.971670275768214
903.25,-58.00251256281407,4.895880833022025
903.75,-58.5,4.745966971902428
904.25,-58.57537688442211,4.694505385269641
904.75,-59.00753768844221,4.659447372087208
905.25,-59.00251256281407,4.623310176440939
905.75,-59.494974874371856,4.505000944619487
906.25,-59.03517587939699,4.386630045228674
906.75,-59.46482412060301,4.3474403048989725
907.25,-59.49748743718593,4.302638815757307
907.75,-59.5,4.23958372608442
908.25,-59.49748743718593,4.131665479700506
908.75,-59.517587939698494,4.0166554628399345
909.25,-59.5,4.01104371402797
909.75,-59.50251256281407,3.835784481900493
910.25,-59.51005025125628,3.8267193492042444
910.75,-59.459798994974875,3.6679870256658464
911.25,-59.00251256281407,3.577705704119532
911.75,-58.99748743718593,3.5769656932871854
912.25,-58.50251256281407,3.4797776039723
912.75,-58.54773869346734,3.296100748626878
913.25,-58.67336683417086,3.234063173848467
913.75,-58.482412060301506,3.1394034548774337
914.25,-58.01005025125628,3.019737536530013
914.75,-57.99748743718593,2.9388605193114397
915.25,-57.49246231155779,2.76298461149034
915.75,-57.0,2.6444595431761213
916.25,-57.0,2.5509098404536075
916.75,-56.99246231155779,2.462817717619652
917.25,-56.505025125628144,2.2835500934836297
917.75,-56.00251256281407,2.1574707479225363
918.25,-55.505025125628144,2.075514548240124
918.75,-55.482412060301506,1.9460434863641078
919.25,-55.01005025125628,1.82921427620735
919.75,-55.03517587939699,1.7008223967951728
920.25,-55.00251256281407,1.5676204469727413
920.75,-55.0,1.448324534041494
921.25,-54.494974874371856,1.3021107270836307
921.75,-54.0,1.1594428053640957
922.25,-54.0,1.0267033623118809
922.75,-54.0,0.8936555814128551
923.25,-54.0,0.7474726082396727
923.75,-53.5,0.5698391746917495
924.25,-53.005025125628144,0.4149919080231728
924.75,-53.0,0.2469477815110774
925.25,-53.00251256281407,0.08975714720673571
925.75,-53.0,6.245506422299259
926.25,-52.5,6.0643579372976895
926.75,-51.982412060301506,5.922060020994327
927.25,-51.5,5.770881974702804
